score	path	rationale
6	src/admin.efct.test.js	test is shaped around Cloudflare env/binding stubs
0	src/admin.orch.1.js	portable logic
0	src/auth-flow-state.pure.js	portable logic
4	src/auth-route-approve.orch.3.js	runtime wiring/orchestration layer with platform assumptions
6	src/auth-route-approve.test.js	test is shaped around Cloudflare env/binding stubs
4	src/auth-route-authorize.orch.3.js	runtime wiring/orchestration layer with platform assumptions
4	src/auth-route-authorize.test.js	wiring-level test for current worker/runtime shape
4	src/auth-route-common.orch.3.js	runtime wiring/orchestration layer with platform assumptions
4	src/auth-route-deps.orch.2.js	runtime wiring/orchestration layer with platform assumptions
4	src/auth-route-enroll.orch.3.js	runtime wiring/orchestration layer with platform assumptions
4	src/auth-route-enroll.test.js	wiring-level test for current worker/runtime shape
4	src/auth-route-handlers.orch.2.js	runtime wiring/orchestration layer with platform assumptions
0	src/auth-route-handlers.test-helpers.js	portable logic
0	src/auth-shared.pure.js	portable logic
6	src/auth-wiring-authorize.e2e.test.js	e2e test depends on OAUTH_KV-backed authorize flow
6	src/auth-wiring-env.test-helpers.js	test helper drives worker.fetch with Cloudflare-style env
6	src/auth-wiring-flow.test-helpers.js	test helper uses OAUTH_KV and MCP binding stubs
7	src/auth-wiring-mcp.e2e.test.js	e2e test depends on OAUTH_KV and MCP_OBJECT stubs
6	src/auth-wiring-oauth.e2e.test.js	e2e test depends on OAUTH_KV-backed OAuth state
5	src/auth-wiring-steps.test-helpers.js	test helper follows current auth/worker flow shape
4	src/auth.orch.1.js	runtime wiring/orchestration layer with platform assumptions
4	src/auth.orch.test.js	wiring-level test for current worker/runtime shape
6	src/auth.test.js	test is shaped around Cloudflare env/binding stubs
0	src/config.pure.js	portable logic
2	src/db/conflicts-efct.test.js	DB tests mostly exercise portable SQLite-shaped behavior
2	src/db/conflicts-ops-efct.test.js	DB tests mostly exercise portable SQLite-shaped behavior
3	src/db/conflicts.efct.js	portable DB adapter using D1-like interface, low direct Cloudflare coupling
3	src/db/conflicts.ops.efct.js	portable DB adapter using D1-like interface, low direct Cloudflare coupling
0	src/db/conflicts.pure.js	pure DB logic
2	src/db/conflicts.test.js	DB tests mostly exercise portable SQLite-shaped behavior
2	src/db/entities-efct.test.js	DB tests mostly exercise portable SQLite-shaped behavior
2	src/db/entities-query.test.js	DB tests mostly exercise portable SQLite-shaped behavior
3	src/db/entities-read.efct.js	portable DB adapter using D1-like interface, low direct Cloudflare coupling
3	src/db/entities-write.efct.js	portable DB adapter using D1-like interface, low direct Cloudflare coupling
